Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1685765700000,1898.860000,1899.600000,1897.440000,1899.330000,1112.515700,1685766599999,2112330.783947,2036,738.381200,1401976.539673,0
1685766600000,1899.320000,1901.070000,1898.690000,1901.060000,1301.487000,1685767499999,2472620.674411,2168,1010.917400,1920592.038104,0
1685767500000,1901.070000,1901.850000,1900.130000,1901.350000,790.598700,1685768399999,1502936.430159,1948,503.286900,956764.957839,0
1685768400000,1901.350000,1902.510000,1901.340000,1902.190000,896.534400,1685769299999,1705204.284776,2003,557.272800,1059914.662024,0
1685769300000,1902.200000,1902.380000,1901.380000,1901.390000,1563.220400,1685770199999,2973003.573173,2409,573.434500,1090555.484934,0
1685770200000,1901.390000,1901.550000,1901.130000,1901.130000,552.654200,1685771099999,1050776.736700,1670,369.074500,701732.617050,0
1685771100000,1901.140000,1901.870000,1900.240000,1900.710000,1377.361100,1685771999999,2618684.892271,2258,785.744400,1493980.350266,0
1685772000000,1900.720000,1903.600000,1900.710000,1903.270000,1033.098000,1685772899999,1965509.249213,2515,599.741500,1140886.851457,0
1685772900000,1903.260000,1905.660000,1903.260000,1904.110000,1456.585600,1685773799999,2774032.809680,4079,726.657500,1383773.745835,0
1685773800000,1904.110000,1904.680000,1904.110000,1904.160000,450.656700,1685774699999,858185.023755,3039,244.272400,465168.222018,0
1685774700000,1904.150000,1904.730000,1902.470000,1903.990000,2954.200000,1685775599999,5623836.821806,4565,1174.672100,2236046.300022,0
1685775600000,1903.990000,1904.310000,1903.090000,1903.560000,1017.702000,1685776499999,1937611.705353,3483,543.708200,1035174.788250,0
1685776500000,1903.570000,1904.080000,1903.380000,1903.730000,897.229500,1685777399999,1708033.094835,3441,457.106800,870176.313935,0
1685777400000,1903.730000,1905.660000,1903.720000,1904.350000,2089.805100,1685778299999,3980334.700445,3833,966.188800,1840097.680327,0
1685778300000,1904.340000,1904.620000,1902.540000,1902.710000,1028.058200,1685779199999,1956717.448421,3627,350.144000,666345.437525,0
1685779200000,1902.720000,1903.550000,1902.430000,1903.040000,1009.072700,1685780099999,1920244.093587,2875,552.174800,1050716.901288,0
1685780100000,1903.040000,1903.700000,1902.720000,1903.160000,750.303400,1685780999999,1427915.122700,2702,382.012700,727010.782885,0
1685781000000,1903.170000,1903.320000,1902.260000,1903.240000,610.822600,1685781899999,1162333.601725,2648,201.278800,383029.372514,0
1685781900000,1903.240000,1903.240000,1902.100000,1902.550000,718.379100,1685782799999,1366862.075325,2617,269.156700,512129.105044,0
1685782800000,1902.550000,1902.550000,1901.230000,1902.130000,1277.613800,1685783699999,2430080.956836,2814,653.030500,1242074.386861,0
1685783700000,1902.120000,1902.840000,1902.060000,1902.710000,1117.236700,1685784599999,2125543.326178,2381,602.677400,1146584.350662,0
1685784600000,1902.710000,1903.320000,1902.710000,1903.080000,875.912100,1685785499999,1667057.481831,2115,466.126500,887146.831681,0
1685785500000,1903.080000,1904.150000,1903.070000,1903.930000,898.035500,1685786399999,1709474.082374,2174,705.624600,1343160.925909,0
